doi,url
10.1007/s00134-020-05985-9,https://link.springer.com/content/pdf/10.1007/s00134-020-05985-9.pdf
10.1038/s41421-020-0147-1,https://www.nature.com/articles/s41421-020-0147-1.pdf
10.3390/jcm9020538,https://www.mdpi.com/2077-0383/9/2/538/pdf
10.3390/jcm9020575,https://www.mdpi.com/2077-0383/9/2/575/pdf
10.1007/s00134-020-05976-w,https://link.springer.com/content/pdf/10.1007/s00134-020-05976-w.pdf
10.1016/j.idm.2020.02.001,
10.1016/j.idm.2020.02.002,
10.1016/s2214-109x(20)30065-6,http://www.thelancet.com/article/S2214109X20300656/pdf
10.1093/jtm/taaa030,https://academic.oup.com/jtm/advance-article-pdf/doi/10.1093/jtm/taaa030/32817920/taaa030.pdf
10.1128/mBio.02764-19,https://mbio.asm.org/content/mbio/11/1/e02764-19.full.pdf
10.1186/s41256-020-00137-4,https://ghrp.biomedcentral.com/track/pdf/10.1186/s41256-020-00137-4
10.2807/1560-7917.ES.2020.25.5.2000080,https://www.eurosurveillance.org/deliver/fulltext/eurosurveillance/25/5/eurosurv-25-5-2.pdf?itemId=/content/10.2807/1560-7917.ES.2020.25.5.2000080&mimeType=pdf&containerItemId=content/eurosurveillance
10.1093/bioinformatics/btaa145,https://academic.oup.com/bioinformatics/advance-article-pdf/doi/10.1093/bioinformatics/btaa145/32706248/btaa145.pdf
10.3346/jkms.2020.35.e79,
10.3390/pathogens9020148,https://www.mdpi.com/2076-0817/9/2/148/pdf
10.1016/j.eclinm.2020.100289,http://www.thelancet.com/article/S258953702030033X/pdf
10.1016/j.meegid.2020.104272,
10.1016/j.micinf.2020.01.004,
10.1038/s41422-020-0282-0,https://www.nature.com/articles/s41422-020-0282-0.pdf
10.1093/jtm/taaa011,https://academic.oup.com/jtm/article-pdf/27/2/taaa011/32902441/taaa011.pdf
10.12809/hkmj208375,https://www.hkmj.org/system/files/hkmj208375.pdf
10.20535/ibb.2020.4.1.195074,http://ibb.kpi.ua/article/download/195074/pdf_71
10.2807/1560-7917.ES.2020.25.8.2000097,https://www.eurosurveillance.org/deliver/fulltext/eurosurveillance/25/8/eurosurv-25-8-2.pdf?itemId=/content/10.2807/1560-7917.ES.2020.25.8.2000097&mimeType=pdf&containerItemId=content/eurosurveillance
10.1093/pcmedi/pbaa004,https://academic.oup.com/pcm/advance-article-pdf/doi/10.1093/pcmedi/pbaa004/32661622/pbaa004.pdf
10.3389/fmicb.2019.03036,https://www.frontiersin.org/articles/10.3389/fmicb.2019.03036/pdf
10.3390/ijerph17051633,https://www.mdpi.com/1660-4601/17/5/1633/pdf
10.1007/s13238-020-00693-y,https://link.springer.com/content/pdf/10.1007/s13238-020-00693-y.pdf
10.1016/s2214-109x(20)30076-0,http://www.thelancet.com/article/S2214109X20300760/pdf
10.1186/s13054-020-2786-x,https://ccforum.biomedcentral.com/track/pdf/10.1186/s13054-020-2786-x
10.24171/j.phrp.2020.11.1.01,http://ophrp.org/upload/pdf/ophrp-11-1.pdf
10.3390/jcm9030674,https://www.mdpi.com/2077-0383/9/3/674/pdf
10.3390/v12020244,https://www.mdpi.com/1999-4915/12/2/244/pdf
10.1007/s00134-020-05954-2,https://link.springer.com/content/pdf/10.1007/s00134-020-05954-2.pdf
10.3390/v12020135,https://www.mdpi.com/1999-4915/12/2/135/pdf
10.1016/j.dib.2020.105340,
10.1017/S0950268820000424,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/886D3CABC0ED422A511086DDB836B34F/S0950268820000424a.pdf/div-class-title-passengers-destinations-from-china-low-risk-of-novel-coronavirus-2019-ncov-transmission-into-africa-and-south-america-div.pdf
10.1038/s41586-020-2008-3,https://www.nature.com/articles/s41586-020-2008-3.pdf
10.1093/nsr/nwaa030,https://academic.oup.com/nsr/advance-article-pdf/doi/10.1093/nsr/nwaa030/32517834/nwaa030.pdf
10.1016/j.bsheal.2020.02.001,
10.1016/j.ijid.2020.02.018,https://doi.org/10.1016/j.ijid.2020.02.018
10.1016/j.ijid.2020.02.052,http://www.ijidonline.com/article/S1201971220301119/pdf
10.1038/s41421-020-0148-0,https://www.nature.com/articles/s41421-020-0148-0.pdf
10.1093/jtm/taaa021,https://academic.oup.com/jtm/advance-article-pdf/doi/10.1093/jtm/taaa021/32636948/taaa021.pdf
10.2807/1560-7917.ES.2019.24.48.1900244,https://www.eurosurveillance.org/deliver/fulltext/eurosurveillance/24/48/eurosurv-24-48-6.pdf?itemId=/content/10.2807/1560-7917.ES.2019.24.48.1900244&mimeType=pdf&containerItemId=content/eurosurveillance
